PLZ,Gemeinde,searchString,lat,long,einwohner
83607,Holzkirchen,83607 Holzkirchen,47.8831496,11.7004553,16750
83624,Otterfing,83624 Otterfing,47.9100294,11.6712434,4840
83629,Weyarn,83629 Weyarn,47.8592018,11.7999821,3904
83626,Valley,83626 Valley,47.8945169,11.7784633,3353
83627,Warngau,83627 Warngau,47.8190462,11.730831,3849
83666,Waakirchen,83666 Waakirchen,47.7725619,11.6728042,5825
83684,Tegernsee,83684 Tegernsee,47.7099191,11.7543337,3648
83708,Kreuth,83708 Kreuth,47.6410174,11.7442455,3574
83700,Rottach-Egern,83700 Rottach-Egern,47.6909599,11.7707109,5804
83703,Gmund a. Tegernsee,83703 Gmund a. Tegernsee,47.7504331,11.7385694,6133
83707,Bad Wiessee,83707 Bad Wiessee,47.7128111,11.7254859,5012
83714,Miesbach,83714 Miesbach,47.790025,11.8335417,11477
83735,Bayrischzell,83735 Bayrischzell,47.6737001,12.0148837,1608
83727,Schliersee,83727 Schliersee,47.7345915,11.8620286,6939
83730,Fischbachau,83730 Fischbachau,47.7195927,11.9517515,5666
83734,Hausham,83734 Hausham,47.7507322,11.8394101,8420
83737,Irschenberg,83737 Irschenberg,47.8345585,11.9138457,3178
